category,training_records,base_pct,initial_rl_pct,repair_sft_pct,rl_minus_base_pp,sft_minus_rl_pp,sft_minus_base_pp
A,601,38.78951747088186,46.04825291181364,56.28119800332779,7.258735440931781,10.232945091514143,17.491680532445923
B,516,38.78391472868217,45.542635658914726,59.593023255813954,6.758720930232558,14.050387596899224,20.809108527131784
C,1652,38.677865213882164,43.280871670702176,52.74667070217917,4.603006456820016,9.465799031476998,14.068805488297015
Total,2769,38.72186108101601,44.302997472011555,54.789635247381725,5.581136390995546,10.48663777537017,16.067774166365716
