benchmark_id,model_id,category,n_rounds,mean_pct,population_sd_pct
pro618,balanced,A,3,54.44947209653092,0.8532208521104648
pro618,balanced,B,3,57.04809286898839,0.9381184493353864
pro618,balanced,C,3,54.59183673469388,1.2497396646852952
pro618,balanced,Full,3,55.33980582524272,0.9248343149666808
pro618,base,A,3,51.73453996983409,0.42661042605523075
pro618,base,B,3,54.39469320066335,1.1726480616692339
pro618,base,C,3,51.87074829931973,1.2726725805353543
pro618,base,Full,3,52.642934196332256,0.27502802122938363
pro618,expert_A_expanded_rl,A,3,58.67269984917044,1.1876331635010264
pro618,expert_A_expanded_rl,B,3,57.04809286898839,1.0222908794310055
pro618,expert_A_expanded_rl,C,3,53.23129251700681,1.2025625530383475
pro618,expert_A_expanded_rl,Full,3,56.418554476806904,0.6649853293386151
pro618,expert_A_first_repair_sft,A,3,57.31523378582202,0.42661042605523075
pro618,expert_A_first_repair_sft,B,3,54.892205638474294,2.7047274345439614
pro618,expert_A_first_repair_sft,C,3,54.421768707483,0.8671801893865296
pro618,expert_A_first_repair_sft,Full,3,55.609492988133766,1.3034569550803197
pro618,expert_A_initial_rl,A,3,53.54449472096531,0.7690828828948398
pro618,expert_A_initial_rl,B,3,54.22885572139304,1.7706597432887743
pro618,expert_A_initial_rl,C,3,52.2108843537415,1.9241000848613519
pro618,expert_A_initial_rl,Full,3,53.344120819848975,1.4493019247620715
pro618,expert_A_second_repair_sft,A,3,59.57767722473605,1.3987358213417367
pro618,expert_A_second_repair_sft,B,3,57.04809286898839,1.5379135150075793
pro618,expert_A_second_repair_sft,C,3,55.27210884353742,0.24051251060767148
pro618,expert_A_second_repair_sft,Full,3,57.38942826321467,0.42470376882480004
pro618,expert_B_expanded_rl,A,3,55.052790346908,1.2974849573216616
pro618,expert_B_expanded_rl,B,3,58.37479270315091,2.003821886168254
pro618,expert_B_expanded_rl,C,3,54.76190476190476,1.683587574253687
pro618,expert_B_expanded_rl,Full,3,56.04099244875944,0.8072615721195109
pro618,expert_B_first_repair_sft,A,3,53.69532428355958,1.3987358213417367
pro618,expert_B_first_repair_sft,B,3,56.550580431177444,0.6205070293157439
pro618,expert_B_first_repair_sft,C,3,54.421768707483,1.2726725805353543
pro618,expert_B_first_repair_sft,Full,3,54.85436893203884,0.5284767514095331
pro618,expert_B_initial_rl,A,3,53.69532428355958,1.8958982036163692
pro618,expert_B_initial_rl,B,3,55.05804311774461,0.620507029315747
