method,displayed_points,rounds_per_point,mean_full_gain_pp,mean_gsim_pp,mean_ssg_pp,final_full_gain_pp
Pooled,50,2,1.1289104638619187,0.07669569932833596,1.0522147645335829,2.8586839266450923
Balanced,50,2,1.3683926645091689,0.19122696916501156,1.1771656953441574,2.696871628910465
