comparison,n_tasks,n_rounds,draws,seed,delta_pp,ci95_low_pp,ci95_high_pp
mopd_vs_base,300,3,10000,20260911,2.777777777777778,0.33333333333333326,5.222222222222222
mopd_vs_pooled,300,3,10000,20260911,3.4444444444444446,0.666666666666667,6.222222222222222
mopd_vs_balanced,300,3,10000,20260911,2.0,-0.7777777777777778,4.777777777777778
