anon_instance_id,category,phase,n_successes,n_attempts,success_rate,infra_failure_count
TRN-0F46C559D7CC748B,A,repair_sft,1,4,0.25,0
TRN-1059D3C309E7582A,A,base,2,4,0.5,
TRN-1059D3C309E7582A,A,initial_rl,2,4,0.5,0
TRN-1059D3C309E7582A,A,repair_sft,2,4,0.5,0
TRN-10A03C174AD64769,A,base,2,4,0.5,
TRN-10A03C174AD64769,A,initial_rl,2,4,0.5,0
TRN-10A03C174AD64769,A,repair_sft,4,4,1.0,0
TRN-11E589CCB05725CB,A,base,1,4,0.25,
TRN-11E589CCB05725CB,A,initial_rl,1,4,0.25,0
TRN-11E589CCB05725CB,A,repair_sft,4,4,1.0,0
TRN-126A63EAD42BB71B,A,base,1,4,0.25,
TRN-126A63EAD42BB71B,A,initial_rl,4,4,1.0,0
TRN-126A63EAD42BB71B,A,repair_sft,3,4,0.75,0
TRN-141C1BB26CC28E75,A,base,2,4,0.5,
TRN-141C1BB26CC28E75,A,initial_rl,4,4,1.0,0
TRN-141C1BB26CC28E75,A,repair_sft,1,4,0.25,0
TRN-145D128153C8CB10,A,base,1,4,0.25,
TRN-145D128153C8CB10,A,initial_rl,4,4,1.0,0
TRN-145D128153C8CB10,A,repair_sft,2,4,0.5,0
TRN-1499BEE9F1187314,A,base,1,4,0.25,
TRN-1499BEE9F1187314,A,initial_rl,0,4,0.0,0
TRN-1499BEE9F1187314,A,repair_sft,0,4,0.0,0
TRN-14C88818C8533FE7,A,base,2,4,0.5,
TRN-14C88818C8533FE7,A,initial_rl,3,4,0.75,0
TRN-14C88818C8533FE7,A,repair_sft,1,4,0.25,0
TRN-14DBF901E04D575A,A,base,2,4,0.5,
TRN-14DBF901E04D575A,A,initial_rl,3,4,0.75,0
TRN-14DBF901E04D575A,A,repair_sft,4,4,1.0,0
TRN-14E7604B1E48316B,A,base,2,4,0.5,
TRN-14E7604B1E48316B,A,initial_rl,2,4,0.5,0
TRN-14E7604B1E48316B,A,repair_sft,4,4,1.0,0
TRN-14F20B4E1FAF6819,A,base,1,4,0.25,
TRN-14F20B4E1FAF6819,A,initial_rl,1,4,0.25,0
TRN-14F20B4E1FAF6819,A,repair_sft,1,4,0.25,0
TRN-158004DE7E1CA3AC,A,base,0,4,0.0,
TRN-158004DE7E1CA3AC,A,initial_rl,0,4,0.0,0
TRN-158004DE7E1CA3AC,A,repair_sft,0,4,0.0,0
TRN-15D89BE3BA663673,A,base,1,4,0.25,
TRN-15D89BE3BA663673,A,initial_rl,2,4,0.5,0
TRN-15D89BE3BA663673,A,repair_sft,3,4,0.75,0
TRN-16DEBD756FF9CF71,A,base,1,4,0.25,
TRN-16DEBD756FF9CF71,A,initial_rl,2,4,0.5,0
TRN-16DEBD756FF9CF71,A,repair_sft,1,4,0.25,0
TRN-1877FD3E1F4047B1,A,base,1,4,0.25,
TRN-1877FD3E1F4047B1,A,initial_rl,0,4,0.0,0
TRN-1877FD3E1F4047B1,A,repair_sft,2,4,0.5,0
TRN-1A4CCBA95886AD24,A,base,1,4,0.25,
TRN-1A4CCBA95886AD24,A,initial_rl,0,4,0.0,0
TRN-1A4CCBA95886AD24,A,repair_sft,3,4,0.75,0
TRN-1AC981DD6E28E1BC,A,base,1,4,0.25,
TRN-1AC981DD6E28E1BC,A,initial_rl,1,4,0.25,0
TRN-1AC981DD6E28E1BC,A,repair_sft,1,4,0.25,0
TRN-1B3DCEA8E6663E44,A,base,0,4,0.0,
TRN-1B3DCEA8E6663E44,A,initial_rl,2,4,0.5,0
TRN-1B3DCEA8E6663E44,A,repair_sft,4,4,1.0,0
TRN-1B541A3B2E81C5D3,A,base,1,4,0.25,
TRN-1B541A3B2E81C5D3,A,initial_rl,3,4,0.75,0
TRN-1B541A3B2E81C5D3,A,repair_sft,3,4,0.75,0
TRN-1B80E08F3FE6F83C,A,base,2,4,0.5,
TRN-1B80E08F3FE6F83C,A,initial_rl,1,4,0.25,0
TRN-1B80E08F3FE6F83C,A,repair_sft,1,4,0.25,0
TRN-1C8FFE8BC5674F78,A,base,3,4,0.75,
TRN-1C8FFE8BC5674F78,A,initial_rl,3,4,0.75,0
TRN-1C8FFE8BC5674F78,A,repair_sft,3,4,0.75,0
TRN-1D7ABD5AFC8BC8A3,A,base,2,4,0.5,
TRN-1D7ABD5AFC8BC8A3,A,initial_rl,1,4,0.25,0
TRN-1D7ABD5AFC8BC8A3,A,repair_sft,3,4,0.75,0
TRN-1E6196F97C387D07,A,base,0,4,0.0,
TRN-1E6196F97C387D07,A,initial_rl,0,4,0.0,0
TRN-1E6196F97C387D07,A,repair_sft,0,4,0.0,0
TRN-1EB090E17B720963,A,base,0,4,0.0,
TRN-1EB090E17B720963,A,initial_rl,0,4,0.0,0
TRN-1EB090E17B720963,A,repair_sft,0,4,0.0,0
TRN-1ECDBABD095340C1,A,base,1,4,0.25,
TRN-1ECDBABD095340C1,A,initial_rl,0,4,0.0,0
TRN-1ECDBABD095340C1,A,repair_sft,0,4,0.0,0
TRN-1EF6E85FDD66606D,A,base,2,4,0.5,
TRN-1EF6E85FDD66606D,A,initial_rl,3,4,0.75,0
TRN-1EF6E85FDD66606D,A,repair_sft,4,4,1.0,0
TRN-1F1F399B2C65AC9A,A,base,1,4,0.25,
TRN-1F1F399B2C65AC9A,A,initial_rl,3,4,0.75,0
