plot_step,round,Full,A,B,C
160,2,53.23624595469255,52.03619909502263,55.72139303482587,52.04081632653062
165,1,54.0453074433657,52.488687782805435,55.72139303482587,54.08163265306123
165,2,53.883495145631066,52.94117647058824,56.21890547263681,52.55102040816326
170,1,54.36893203883495,52.94117647058824,57.711442786069654,52.55102040816326
170,2,54.20711974110033,53.39366515837104,55.72139303482587,53.57142857142857
175,1,51.7799352750809,50.2262443438914,53.73134328358209,51.53061224489795
175,2,54.0453074433657,52.03619909502263,56.71641791044776,53.57142857142857
180,1,53.72168284789643,54.75113122171946,51.741293532338304,54.59183673469388
180,2,53.72168284789643,53.84615384615385,53.73134328358209,53.57142857142857
185,1,52.103559870550164,53.39366515837104,51.741293532338304,51.02040816326531
185,2,52.58899676375405,54.29864253393665,51.741293532338304,51.53061224489795
190,1,53.72168284789643,52.94117647058824,55.223880597014926,53.06122448979592
190,2,55.17799352750809,54.75113122171946,55.72139303482587,55.10204081632652
195,1,54.0453074433657,53.39366515837104,54.22885572139303,54.59183673469388
195,2,53.07443365695793,53.84615384615385,54.22885572139303,51.02040816326531
200,1,54.69255663430421,52.488687782805435,55.72139303482587,56.12244897959183
200,2,53.55987055016181,53.39366515837104,53.73134328358209,53.57142857142857
205,1,55.98705501618123,55.65610859728507,57.2139303482587,55.10204081632652
205,2,54.53074433656958,54.29864253393665,55.72139303482587,53.57142857142857
210,1,54.53074433656958,53.39366515837104,55.72139303482587,54.59183673469388
210,2,54.0453074433657,54.29864253393665,56.71641791044776,51.02040816326531
215,1,55.8252427184466,58.371040723981906,55.72139303482587,53.06122448979592
215,2,52.42718446601942,50.678733031674206,53.233830845771145,53.57142857142857
220,1,54.85436893203883,52.94117647058824,56.71641791044776,55.10204081632652
220,2,54.0453074433657,51.58371040723983,57.2139303482587,53.57142857142857
225,1,53.72168284789643,52.03619909502263,56.21890547263681,53.06122448979592
225,2,54.0453074433657,52.03619909502263,55.223880597014926,55.10204081632652
230,1,55.98705501618123,56.10859728506787,55.72139303482587,56.12244897959183
230,2,54.36893203883495,55.65610859728507,53.73134328358209,53.57142857142857
235,1,54.20711974110033,53.39366515837104,52.736318407960205,56.63265306122449
235,2,54.53074433656958,53.39366515837104,58.2089552238806,52.04081632653062
240,1,54.85436893203883,52.94117647058824,55.223880597014926,56.63265306122449
240,2,54.0453074433657,52.94117647058824,56.71641791044776,52.55102040816326
245,1,55.50161812297735,53.84615384615385,55.72139303482587,57.14285714285714
245,2,52.9126213592233,52.03619909502263,54.22885572139303,52.55102040816326
255,1,51.7799352750809,52.03619909502263,52.23880597014925,51.02040816326531
255,2,54.85436893203883,51.13122171945701,56.71641791044776,57.14285714285714
265,1,53.55987055016181,52.94117647058824,54.22885572139303,53.57142857142857
265,2,54.36893203883495,52.94117647058824,55.72139303482587,54.59183673469388
270,1,54.36893203883495,51.13122171945701,56.21890547263681,56.12244897959183
270,2,54.36893203883495,52.94117647058824,56.71641791044776,53.57142857142857
275,1,53.07443365695793,52.03619909502263,51.741293532338304,55.61224489795919
275,2,53.398058252427184,52.94117647058824,53.233830845771145,54.08163265306123
280,1,55.17799352750809,55.203619909502265,56.21890547263681,54.08163265306123
280,2,55.17799352750809,52.94117647058824,55.72139303482587,57.14285714285714
285,1,55.33980582524271,52.488687782805435,57.711442786069654,56.12244897959183
285,2,52.58899676375405,48.86877828054298,56.21890547263681,53.06122448979592
290,1,54.36893203883495,53.84615384615385,57.2139303482587,52.04081632653062
290,2,51.1326860841424,52.03619909502263,51.243781094527364,50.0
295,1,55.016181229773466,52.94117647058824,53.73134328358209,58.673469387755105
295,2,53.07443365695793,55.203619909502265,50.24875621890548,53.57142857142857
300,1,54.0453074433657,53.84615384615385,52.23880597014925,56.12244897959183
300,2,54.0453074433657,53.84615384615385,55.72139303482587,52.55102040816326
305,1,53.883495145631066,51.13122171945701,55.72139303482587,55.10204081632652
305,2,50.64724919093852,49.321266968325794,51.741293532338304,51.02040816326531
310,1,55.663430420711975,56.10859728506787,55.72139303482587,55.10204081632652
310,2,55.33980582524271,54.75113122171946,55.72139303482587,55.61224489795919
315,1,54.69255663430421,53.84615384615385,56.21890547263681,54.08163265306123
315,2,53.398058252427184,52.03619909502263,54.22885572139303,54.08163265306123
320,1,54.0453074433657,52.94117647058824,57.2139303482587,52.04081632653062
320,2,54.36893203883495,54.75113122171946,55.72139303482587,52.55102040816326
325,1,54.0453074433657,54.75113122171946,53.73134328358209,53.57142857142857
325,2,53.23624595469255,55.203619909502265,53.73134328358209,50.51020408163265
