method,evaluation_index,display_step,round_count,Full,A,B,C
Pooled,27,135,2,54.0453074433657,54.52488687782805,54.975124378109456,52.55102040816326
Pooled,28,140,2,55.33980582524272,55.42986425339367,56.96517412935324,53.57142857142857
Pooled,29,145,2,52.912621359223294,51.13122171945702,54.4776119402985,53.316326530612244
Pooled,30,150,2,53.883495145631066,53.619909502262445,54.975124378109456,53.06122448979592
Pooled,31,155,2,52.83171521035599,54.29864253393666,52.23880597014926,51.785714285714285
Pooled,32,160,2,53.155339805825236,52.488687782805435,54.726368159203986,52.29591836734694
Pooled,33,165,2,53.96440129449839,52.71493212669684,55.97014925373134,53.316326530612244
Pooled,34,170,2,54.28802588996764,53.16742081447964,56.71641791044776,53.06122448979592
Pooled,35,175,2,52.9126213592233,51.13122171945702,55.223880597014926,52.55102040816326
Pooled,36,180,2,53.72168284789643,54.29864253393666,52.7363184079602,54.08163265306122
Pooled,37,185,2,52.346278317152105,53.84615384615385,51.741293532338304,51.27551020408163
Pooled,38,190,2,54.44983818770226,53.846153846153854,55.472636815920396,54.08163265306122
Pooled,39,195,2,53.55987055016182,53.619909502262445,54.22885572139303,52.80612244897959
Pooled,40,200,2,54.126213592233015,52.94117647058824,54.726368159203986,54.846938775510196
Pooled,41,205,2,55.25889967637541,54.977375565610856,56.46766169154229,54.336734693877546
Pooled,42,210,2,54.28802588996764,53.84615384615385,56.21890547263682,52.80612244897959
Pooled,43,215,2,54.126213592233015,54.52488687782805,54.47761194029851,53.316326530612244
Pooled,44,220,2,54.44983818770227,52.26244343891403,56.96517412935323,54.336734693877546
Pooled,45,225,2,53.883495145631066,52.03619909502263,55.721393034825866,54.08163265306122
Pooled,46,230,2,55.17799352750809,55.88235294117647,54.726368159203986,54.846938775510196
Pooled,47,235,2,54.368932038834956,53.39366515837104,55.4726368159204,54.33673469387755
Pooled,48,240,2,54.44983818770227,52.94117647058824,55.97014925373134,54.59183673469387
Pooled,49,245,2,54.20711974110033,52.94117647058824,54.975124378109456,54.846938775510196
Pooled,50,250,2,53.31715210355986,51.58371040723982,54.4776119402985,54.08163265306122
Pooled,51,255,2,53.96440129449838,52.94117647058824,54.975124378109456,54.08163265306122
Pooled,52,260,2,54.36893203883495,52.036199095022624,56.46766169154229,54.846938775510196
Pooled,53,265,2,53.236245954692556,52.488687782805435,52.48756218905473,54.84693877551021
Pooled,54,270,2,55.17799352750809,54.07239819004525,55.97014925373134,55.61224489795919
Pooled,55,275,2,53.96440129449838,50.67873303167421,56.96517412935323,54.59183673469387
Pooled,56,280,2,52.750809061488674,52.94117647058824,54.22885572139303,51.02040816326531
Pooled,57,285,2,54.0453074433657,54.07239819004525,51.99004975124379,56.12244897959184
Pooled,58,290,2,54.0453074433657,53.84615384615385,53.98009950248756,54.336734693877546
Pooled,59,295,2,52.26537216828479,50.2262443438914,53.73134328358209,53.06122448979592
Pooled,60,300,2,55.50161812297735,55.42986425339367,55.72139303482587,55.357142857142854
Pooled,61,305,2,54.0453074433657,52.94117647058824,55.223880597014926,54.08163265306123
Pooled,62,310,2,54.20711974110033,53.846153846153854,56.46766169154229,52.29591836734694
Pooled,63,315,2,53.640776699029125,54.97737556561086,53.73134328358209,52.04081632653061
Balanced,1,5,2,53.55987055016182,54.52488687782805,54.22885572139303,51.785714285714285
Balanced,2,10,2,53.07443365695793,52.71493212669684,53.98009950248756,52.55102040816327
Balanced,3,15,2,54.126213592233015,52.036199095022624,56.21890547263682,54.33673469387755
Balanced,4,20,2,53.15533980582524,51.58371040723982,53.98009950248756,54.08163265306123
Balanced,5,25,2,53.31715210355987,53.619909502262445,54.4776119402985,51.78571428571429
Balanced,6,30,2,52.42718446601941,52.48868778280543,55.223880597014926,49.48979591836735
Balanced,7,35,2,53.883495145631066,52.94117647058823,53.23383084577114,55.61224489795919
Balanced,8,40,2,53.31715210355987,52.26244343891403,54.22885572139303,53.57142857142857
Balanced,9,45,2,53.80258899676375,54.52488687782805,53.73134328358209,53.06122448979592
Balanced,10,50,2,53.55987055016181,53.84615384615385,54.22885572139303,52.55102040816327
Balanced,11,55,2,53.88349514563107,53.393665158371036,54.72636815920398,53.57142857142857
Balanced,12,60,2,54.12621359223301,53.39366515837104,54.975124378109456,54.08163265306122
Balanced,13,65,2,53.80258899676375,53.84615384615385,53.98009950248756,53.57142857142857
Balanced,14,70,2,54.28802588996764,54.977375565610856,53.98009950248756,53.826530612244895
Balanced,15,75,2,54.12621359223301,54.29864253393665,55.223880597014926,52.80612244897959
Balanced,16,80,2,53.31715210355987,51.35746606334842,55.97014925373134,52.80612244897959
Balanced,17,85,2,53.80258899676376,51.58371040723982,55.472636815920396,54.59183673469388
Balanced,18,90,2,54.28802588996764,53.619909502262445,54.47761194029851,54.8469387755102
Balanced,19,95,2,53.80258899676375,53.16742081447964,54.72636815920398,53.57142857142857
Balanced,20,100,2,53.96440129449838,54.29864253393666,53.98009950248756,53.57142857142857
Balanced,21,105,2,53.398058252427184,54.29864253393666,52.98507462686567,52.80612244897959
Balanced,22,110,2,53.31715210355987,51.13122171945702,56.21890547263682,52.80612244897959
Balanced,23,115,2,53.4789644012945,52.94117647058823,53.98009950248756,53.57142857142857
Balanced,24,120,2,52.993527508090615,53.393665158371036,53.482587064676615,52.04081632653062
Balanced,25,125,2,53.55987055016181,53.16742081447964,55.472636815920396,52.04081632653062
Balanced,26,130,2,53.883495145631066,52.48868778280543,54.975124378109456,54.33673469387755
Balanced,27,135,2,53.55987055016181,54.07239819004525,54.975124378109456,51.53061224489796
Balanced,28,140,2,54.773462783171524,53.619909502262445,56.71641791044776,54.08163265306122
Balanced,29,145,2,52.750809061488674,50.452488687782804,55.97014925373134,52.04081632653062
Balanced,30,150,2,53.55987055016181,53.16742081447964,54.975124378109456,52.55102040816327
Balanced,31,155,2,53.15533980582524,52.94117647058823,54.22885572139303,52.29591836734694
Balanced,32,160,2,52.993527508090615,53.16742081447964,53.98009950248756,51.785714285714285
Balanced,33,165,2,53.64077669902913,54.07239819004525,54.22885572139303,52.55102040816327
Balanced,34,170,2,54.045307443365694,53.84615384615385,54.975124378109456,53.316326530612244
Balanced,35,175,2,54.69255663430421,54.52488687782805,54.975124378109456,54.59183673469388
Balanced,36,180,2,54.126213592233015,53.84615384615385,54.72636815920398,53.826530612244895
Balanced,37,185,2,55.90614886731392,55.203619909502265,55.97014925373134,56.63265306122449
Balanced,38,190,2,54.288025889967635,52.262443438914026,58.208955223880594,52.55102040816327
Balanced,39,195,2,53.80258899676376,51.58371040723982,55.721393034825866,54.336734693877546
Balanced,40,200,2,54.93527508090615,55.42986425339366,53.98009950248756,55.35714285714286
Balanced,41,205,2,54.44983818770226,54.52488687782805,54.22885572139303,54.59183673469388
Balanced,42,210,2,55.420711974110034,55.65610859728507,56.46766169154229,54.08163265306122
Balanced,43,215,2,54.53074433656958,53.16742081447964,55.223880597014926,55.35714285714286
Balanced,44,220,2,54.69255663430421,54.52488687782805,56.21890547263681,53.316326530612244
Balanced,45,225,2,54.44983818770227,54.07239819004525,54.975124378109456,54.33673469387755
Balanced,46,230,2,54.12621359223301,53.619909502262445,55.472636815920396,53.316326530612244
Balanced,47,235,2,55.90614886731392,54.52488687782805,57.46268656716418,55.86734693877551
Balanced,48,240,2,54.44983818770226,54.52488687782805,53.98009950248756,54.8469387755102
Balanced,49,245,2,55.90614886731392,54.75113122171946,57.711442786069654,55.35714285714286
Balanced,50,250,2,56.14886731391586,54.52488687782805,59.45273631840796,54.59183673469388
