method,evaluation_index,display_step,round_count,Full,A,B,C
Pooled,1,5,2,52.265372168284784,50.904977375565615,53.98009950248756,52.04081632653062
Pooled,2,10,2,52.99352750809061,52.262443438914026,52.7363184079602,54.08163265306122
Pooled,3,15,2,53.640776699029125,54.29864253393666,55.223880597014926,51.27551020408163
Pooled,4,20,2,53.883495145631066,52.94117647058823,56.21890547263682,52.55102040816326
Pooled,5,25,2,53.4789644012945,52.488687782805435,56.46766169154229,51.530612244897966
Pooled,6,30,2,52.42718446601941,50.67873303167421,52.98507462686567,53.826530612244895
Pooled,7,35,2,52.3462783171521,51.13122171945701,53.98009950248756,52.0408163265306
Pooled,8,40,2,53.31715210355986,53.39366515837104,55.472636815920396,51.0204081632653
Pooled,9,45,2,53.72168284789644,52.94117647058823,54.22885572139303,54.08163265306122
Pooled,10,50,2,53.88349514563107,52.71493212669684,55.97014925373134,53.06122448979592
Pooled,11,55,2,53.15533980582524,53.619909502262445,54.97512437810945,50.765306122448976
Pooled,12,60,2,53.64077669902912,52.036199095022624,56.46766169154229,52.55102040816326
Pooled,13,65,2,52.83171521035598,51.80995475113123,54.47761194029851,52.29591836734694
Pooled,14,70,2,54.20711974110032,54.29864253393666,55.223880597014926,53.06122448979592
Pooled,15,75,2,54.20711974110032,53.16742081447964,56.46766169154229,53.06122448979592
Pooled,16,80,2,53.883495145631066,54.97737556561086,55.223880597014926,51.27551020408163
Pooled,17,85,2,54.368932038834956,53.39366515837104,55.721393034825866,54.08163265306123
Pooled,18,90,2,54.53074433656958,53.16742081447964,58.208955223880594,52.29591836734694
Pooled,19,95,2,53.721682847896446,52.48868778280543,53.23383084577114,55.61224489795919
Pooled,20,100,2,54.6116504854369,53.846153846153854,55.721393034825866,54.33673469387755
Pooled,21,105,2,54.288025889967635,54.07239819004525,55.721393034825866,53.06122448979592
Pooled,22,110,2,53.155339805825236,53.16742081447964,53.73134328358209,52.55102040816327
Pooled,23,115,2,54.368932038834956,53.16742081447964,55.721393034825866,54.33673469387755
Pooled,24,120,2,53.72168284789644,54.07239819004525,53.48258706467662,53.57142857142857
Pooled,25,125,2,54.0453074433657,54.52488687782805,54.97512437810945,52.55102040816327
Pooled,26,130,2,52.83171521035598,52.26244343891403,52.985074626865675,53.316326530612244
