step,Full,A,B,C,G_sim,SSG
0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.3775620280474712,-0.8295625942684808,-0.4145936981757856,0.17006802721089542,-0.8295625942684808,0.4520005662210096
10,0.3505933117583524,0.5279034690799307,-1.6583747927031496,2.2108843537414984,-1.6583747927031496,2.008968104461502
15,0.9978425026968694,2.564102564102562,0.8291873963515783,-0.5952380952380949,-0.5952380952380949,1.5930805979349643
20,1.2405609492988106,1.2066365007541364,1.8242122719734724,0.6802721088435391,0.6802721088435391,0.5602888404552715
25,0.8360302049622419,0.7541478129713397,2.0729684908789423,-0.3401360544217553,-0.3401360544217553,1.1761662593839972
30,-0.21574973031284372,-1.0558069381598827,-1.4096185737976796,1.955782312925173,-1.4096185737976796,1.193868843484836
35,-0.29665587918015746,-0.603318250377086,-0.4145936981757856,0.1700680272108812,-0.603318250377086,0.3066623711969285
40,0.6742179072276073,1.6591251885369473,1.0779436152570483,-0.8503401360544203,-0.8503401360544203,1.5245580432820276
45,1.078748651564183,1.2066365007541364,-0.16583747927031567,2.2108843537414984,-0.16583747927031567,1.2445861308344988
50,1.2405609492988177,0.9803921568627416,1.5754560530679953,1.190476190476197,0.9803921568627416,0.26016879243607605
55,0.512405609492987,1.8853695324283493,0.5804311774461013,-1.1054421768707456,-1.1054421768707456,1.6178477863637326
60,0.9978425026968623,0.3016591251885288,2.0729684908789423,0.6802721088435391,0.3016591251885288,0.6961833775083335
65,0.18878101402372494,0.07541478129713397,0.08291873963516139,0.4251700680272208,0.07541478129713397,0.11336623272659097
70,1.5641855447680655,2.564102564102562,0.8291873963515783,1.190476190476197,0.8291873963515783,0.7349981484164871
75,1.5641855447680655,1.4328808446455454,2.0729684908789423,1.190476190476197,1.190476190476197,0.3737093542918686
80,1.2405609492988106,3.242835595776768,0.8291873963515783,-0.5952380952380949,-0.5952380952380949,1.8357990445369055
85,1.7259978425027,1.6591251885369473,1.3266998341625182,2.2108843537415055,1.3266998341625182,0.3992980083401818
90,1.8878101402373275,1.4328808446455454,3.814262023217246,0.4251700680272208,0.4251700680272208,1.4626400722101067
95,1.0787486515641902,0.7541478129713326,-1.1608623548922097,3.741496598639465,-1.1608623548922097,2.2396110064564
100,1.9687162891046412,2.1116138763197583,1.3266998341625182,2.465986394557831,1.3266998341625182,0.642016454942123
105,1.6450916936353792,2.337858220211153,1.3266998341625182,1.190476190476197,1.190476190476197,0.4546155031591823
110,0.5124056094929799,1.4328808446455454,-0.6633499170812556,0.6802721088435462,-0.6633499170812556,1.1757555265742354
115,1.7259978425027,1.4328808446455454,1.3266998341625182,2.465986394557831,1.3266998341625182,0.3992980083401818
120,1.078748651564183,2.337858220211153,-0.9121061359867255,1.7006802721088476,-0.9121061359867255,1.9908547875509086
125,1.4023732470334451,2.790346907993957,0.5804311774461013,0.6802721088435462,0.5804311774461013,0.8219420695873438
130,0.18878101402372494,0.5279034690799378,-1.4096185737976725,1.4455782312925223,-1.4096185737976725,1.5983995878213975
135,1.4023732470334451,2.790346907993957,0.5804311774461084,0.6802721088435391,0.5804311774461084,0.8219420695873367
140,2.696871628910465,3.6953242835595717,2.5704809286898893,1.7006802721088476,1.7006802721088476,0.9961913568016172
145,0.26968716289103867,-0.6033182503770789,0.08291873963515428,1.4455782312925223,-0.6033182503770789,0.8730054132681175
150,1.2405609492988106,1.8853695324283493,0.5804311774461084,1.190476190476197,0.5804311774461084,0.6601297718527022
155,0.18878101402373204,2.564102564102562,-2.1558872305140895,-0.08503401360543705,-2.1558872305140895,2.3446682445378215
160,0.5124056094929799,0.7541478129713397,0.33167495854063844,0.4251700680272208,0.33167495854063844,0.18073065095234142
165,1.3214670981661314,0.9803921568627416,1.5754560530679953,1.4455782312925223,0.9803921568627416,0.3410749413033898
170,1.6450916936353863,1.4328808446455454,2.3217247097844123,1.190476190476197,1.190476190476197,0.4546155031591894
175,0.2696871628910458,-0.6033182503770789,0.8291873963515783,0.6802721088435391,-0.6033182503770789,0.8730054132681246
180,1.078748651564176,2.564102564102562,-1.6583747927031496,2.2108843537414984,-1.6583747927031496,2.7371234442673256
185,-0.29665587918015035,2.111613876319751,-2.6533996683250436,-0.5952380952380949,-2.6533996683250436,2.3567437891448932
190,1.8069039913700067,2.1116138763197583,1.0779436152570483,2.2108843537414984,1.0779436152570483,0.7289603761129584
195,0.9169363538295627,1.8853695324283493,-0.16583747927031567,0.9353741496598715,-0.16583747927031567,1.0827738330998784
200,1.4832793959007589,1.2066365007541435,0.33167495854063844,2.9761904761904745,0.33167495854063844,1.1516044373601204
205,2.615965480043151,3.2428355957767607,2.0729684908789423,2.4659863945578238,2.0729684908789423,0.5429969891642088
210,1.6450916936353863,2.111613876319751,1.8242122719734724,0.9353741496598715,0.9353741496598715,0.7097175439755148
215,1.4832793959007589,2.790346907993957,0.08291873963516139,1.4455782312925223,0.08291873963516139,1.4003606562655975
220,1.8069039913700138,0.5279034690799378,2.570480928689882,2.4659863945578238,0.5279034690799378,1.279000522290076
